股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI,daily_return,stock_code,return_mean_5,return_std_5,open_mean_5,close_mean_5,momentum_5,return_mean_10,return_std_10,open_mean_10,close_mean_10,momentum_10,return_mean_20,return_std_20,open_mean_20,close_mean_20,momentum_20,return_mean_60,return_std_60,open_mean_60,close_mean_60,momentum_60
000001.SZ,2024-05-14,10.91,11.0,11.06,10.88,10.97,-0.06,-0.5469,1075783.91,1176577.33,116.713,1283.843,9.53967,1273.33883,9.46162,1290.84578,9.5917,1269.83744,9.4356,1280.34161,9.51365,0.115,0.096,0.036,65.687,61.935,73.193,62.408,60.984,58.657,9.655,9.245,8.835,102.955,-0.008181624731253723,000001.SZ,0.0017088919712882956,0.010810797469895913,9.40438,9.419988,0.0027576412734748867,0.0026769519484240003,0.010615977323571432,9.366221,9.390502,0.028276008972508704,0.004404968992965724,0.013336229326427225,9.205347,9.244806,0.0643902065868398,0.004070779974011587,0.01781812768957836,9.053291166666666,9.087980333333332,0.1631127731187474
000001.SZ,2024-05-15,10.83,10.9,10.92,10.81,10.91,-0.08,-0.7333,868296.6,942907.95,116.713,1272.1717,9.45295,1264.00179,9.39224,1274.50596,9.47029,1261.66753,9.37489,1273.33883,9.46162,0.108,0.099,0.019,53.792,59.22,42.934,52.27,56.512,56.686,9.616,9.278,8.94,47.724,-0.006422333768823507,000001.SZ,0.0024540159699081967,0.009877365035389251,9.414788,9.437334,0.009320284433631087,0.0019403162893365522,0.010998274647900845,9.393106,9.410449,0.021698573988036207,0.004866637793319817,0.012752259100371817,9.2348335,9.278195,0.07654112690069059,0.003282742337572712,0.017198274881714614,9.076417666666666,9.1046025,0.11880175010810112
000001.SZ,2024-05-16,11.17,10.85,11.21,10.83,10.83,0.34,3.1394,3076291.65,3410151.92,116.713,1266.33605,9.40958,1303.68421,9.6871,1308.35273,9.72179,1264.00179,9.39224,1264.00179,9.39224,0.126,0.104,0.043,66.528,61.656,76.271,73.896,67.546,62.303,9.658,9.316,8.975,144.659,0.029493346142973387,000001.SZ,0.0074190244235600835,0.015757657826655357,9.43907,9.508448,0.03810414798002015,0.002522233278978936,0.012347203546297156,9.418256,9.44167,0.03330279075274478,0.005248913254704135,0.013386900669269283,9.268656,9.3163535,0.08551949645503698,0.0037916182854096647,0.01751698355797224,9.094196166666666,9.127150833333333,0.16233111756377339
000001.SZ,2024-05-17,11.42,11.18,11.42,11.13,11.17,0.25,2.2381,2841748.85,3200736.55,116.713,1304.85134,9.69577,1332.86246,9.90391,1332.86246,9.90391,1299.01569,9.65241,1303.68421,9.6871,0.156,0.114,0.082,77.685,66.999,99.057,81.352,73.034,65.715,9.745,9.366,8.987,228.177,0.0214670933819594,000001.SZ,0.008555551384571158,0.016689251076278822,9.510183999999999,9.591703999999998,0.043876078641346794,0.004761509308967305,0.013617623613424744,9.451211,9.496306,0.05838707781417152,0.0063222679238021055,0.013798187433252097,9.307682,9.3657865,0.11089537590084397,0.003992810515826208,0.017651248397077633,9.117322666666666,9.152445333333333,0.18097144846796653
000001.SZ,2024-05-20,11.38,11.43,11.53,11.31,11.42,-0.04,-0.3503,2170210.3,2475290.15,116.713,1334.02959,9.91258,1328.19394,9.86922,1345.70089,9.99931,1320.02403,9.80851,1332.86246,9.90391,0.174,0.126,0.095,79.026,71.008,95.062,77.123,70.94,64.737,9.829,9.399,8.968,204.893,-0.004374239602605967,000001.SZ,0.006396448284449918,0.0177019782657408,9.60211,9.662817999999998,0.037374719482007546,0.004962803157686846,0.013448339596878179,9.491971,9.538801,0.04499553697638903,0.00434915519113554,0.012196835527464015,9.358415500000001,9.3987415,0.07156258550377204,0.003834528225313279,0.017683495759299755,9.141460833333332,9.175138166666667,0.16004066928000094
000001.SZ,2024-05-21,11.55,11.32,11.62,11.31,11.38,0.17,1.4938,2030049.41,2336192.88,116.713,1321.19116,9.81719,1348.03515,10.01665,1356.20506,10.07736,1320.02403,9.80851,1328.19394,9.86922,0.199,0.141,0.115,83.453,75.156,100.047,81.917,74.35,66.92,9.938,9.431,8.924,175.205,0.020317422806322316,000001.SZ,0.012096257791965126,0.01637279996488588,9.657613999999999,9.773824000000001,0.05866120178151313,0.006902574881626711,0.014179449543588369,9.530997,9.596906,0.0615806096061724,0.004325347537106322,0.012163466445226933,9.3905035,9.431263,0.06944423684261092,0.004122093732396736,0.01781057817280451,9.163575500000002,9.200143666666667,0.1761711631314935
000001.SZ,2024-05-22,11.56,11.56,11.74,11.46,11.55,0.01,0.0866,2115531.38,2458448.97,116.713,1349.20228,10.02533,1349.20228,10.02533,1370.21062,10.18143,1337.53098,9.9386,1348.03515,10.01665,0.216,0.156,0.12,82.846,77.72,93.1,82.18,74.541,67.046,10.032,9.469,8.906,152.693,0.0,000001.SZ,0.013380724545729828,0.014725880786284054,9.77209,9.900442,0.06740564551161388,0.007917370257819013,0.013149305096337294,9.593439,9.668887999999999,0.07735416973384579,0.004418745913751016,0.012120503328840702,9.4273615,9.4689885,0.08138546536336588,0.0023838468781167575,0.012014760123758102,9.189303833333334,9.211128833333333,0.07037097142710724
000001.SZ,2024-05-23,11.4,11.53,11.59,11.37,11.56,-0.16,-1.3841,1841622.9,2110799.28,116.713,1345.70089,9.99931,1330.5282,9.88657,1352.70367,10.05134,1327.02681,9.86055,1349.20228,10.02533,0.216,0.168,0.097,76.378,77.272,74.589,64.209,65.941,63.059,10.073,9.508,8.943,93.506,-0.011274777959679128,000001.SZ,0.005227099725199325,0.014859975607448114,9.890036,9.940335999999999,0.02059130183439839,0.006323062074379704,0.01448563255877981,9.664553,9.724391999999998,0.05948006382661797,0.004512880363362176,0.011983347271854572,9.465954,9.5080145,0.0857144425958567,0.0018046805769409572,0.011816750552844783,9.202023500000001,9.218355833333334,0.04587139464400014
000001.SZ,2024-05-24,11.31,11.37,11.49,11.3,11.4,-0.09,-0.7895,1398275.84,1593330.34,116.713,1327.02681,9.86055,1320.02403,9.80851,1341.03237,9.96462,1318.8569,9.79984,1330.5282,9.88657,0.208,0.176,0.064,68.84,74.462,57.596,55.951,61.58,60.932,10.094,9.541,8.988,60.189,-0.005277596077297941,000001.SZ,-0.00012183816665214397,0.012112298061193691,9.922992,9.921256000000001,-0.00963255926194806,0.0042168566089595075,0.014488302510800764,9.716588,9.75648,0.03382088045170395,0.004106264414009547,0.012178948267417562,9.5032455,9.541402999999999,0.07305426037716867,0.001762681330210575,0.011837700510927323,9.209106,9.225004666666669,0.04239615370717931
000001.SZ,2024-05-27,11.51,11.31,11.53,11.31,11.31,0.2,1.7683,1454361.43,1663272.12,116.713,1320.02403,9.80851,1343.36663,9.98196,1345.70089,9.99931,1320.02403,9.80851,1320.02403,9.80851,0.213,0.183,0.059,70.983,73.302,66.344,67.201,66.888,63.766,10.135,9.584,9.033,69.089,0.017683623710431196,000001.SZ,0.004289734495955289,0.014039878428864916,9.902178,9.943804,0.011423395161927807,0.005343091390202603,0.015103378910910596,9.752144,9.803310999999999,0.04922506083364442,0.004942875562516352,0.01252072385980543,9.537501500000001,9.5838975,0.09306652270514792,0.0024439252796354875,0.011549951928507792,9.2167665,9.239169500000001,0.09306652270514792
000001.SZ,2024-05-28,11.4,11.5,11.58,11.36,11.51,-0.11,-0.9557,1204322.85,1377107.2,116.713,1342.1995,9.97329,1330.5282,9.88657,1351.53654,10.04267,1325.85968,9.85188,1343.36663,9.98196,0.206,0.188,0.037,68.201,71.602,61.4,57.507,61.768,61.218,10.155,9.618,9.081,59.826,-0.008695224945830304,000001.SZ,-0.0015127950544752355,0.011530919070066243,9.933398,9.917788,-0.012986377681160843,0.005291731368744945,0.015155264914306757,9.795506,9.845806,0.04491302757878679,0.003984341658584472,0.012805456525085537,9.5808635,9.618154,0.07445899772209574,0.0022831211698850274,0.011637889886696347,9.231365,9.252178166666669,0.0857144425958567
000001.SZ,2024-05-29,11.26,11.38,11.45,11.23,11.4,-0.14,-1.2281,1444811.11,1635445.61,116.713,1328.19394,9.86922,1314.18838,9.76515,1336.36385,9.92993,1310.68699,9.73914,1330.5282,9.88657,0.189,0.188,0.002,52.571,65.258,27.197,47.125,55.834,58.133,10.15,9.647,9.144,18.18,-0.010544906284387201,000001.SZ,-0.0036217763113526756,0.012133629435220783,9.902176,9.865752,-0.025952262918028657,0.004879474117188576,0.015559986794125196,9.837133,9.883097000000001,0.03970405355910844,0.003409895203262564,0.013200618709704855,9.6151195,9.646773,0.06226414889092191,0.002139079684960223,0.011743576000815766,9.243940000000002,9.263307666666666,0.07340245213457064
000001.SZ,2024-05-30,11.12,11.24,11.34,11.06,11.26,-0.14,-1.2433,1325496.35,1481608.71,116.713,1311.85412,9.74781,1297.84856,9.64374,1323.52542,9.83453,1290.84578,9.5917,1314.18838,9.76515,0.164,0.183,-0.038,37.989,56.168,1.629,38.734,50.538,55.228,10.148,9.66,9.173,-33.419,-0.010676244202543983,000001.SZ,-0.0035020695599256467,0.012041857078041373,9.851876,9.817186,-0.02456160225437143,0.0008625150826368389,0.013555633428327201,9.870956000000001,9.878761,-0.0044760557855292316,0.0016923741808078873,0.012648384585784291,9.644606,9.6602155,0.02867766981799247,0.0016892316478370306,0.01170826691616748,9.255792333333334,9.270968333333334,0.05004736446685021
000001.SZ,2024-05-31,11.11,11.14,11.19,11.11,11.12,-0.01,-0.0899,826706.76,921248.15,116.713,1300.18282,9.66108,1296.68143,9.63507,1306.01847,9.70445,1296.68143,9.63507,1297.84856,9.64374,0.142,0.175,-0.066,27.777,46.704,-10.079,38.152,50.167,55.023,10.142,9.674,9.206,-56.106,-0.0026922455874497375,000001.SZ,-0.002984999461956006,0.012001997756345955,9.811982,9.782498,-0.017682604187588047,-0.0015534188143040751,0.011467427733335433,9.867487,9.851877,-0.02714483471679363,0.0016040452473316147,0.012673772610096,9.659348999999999,9.6740915,0.029657335520515637,0.0018017343196653434,0.011631672070288753,9.263742,9.279929833333334,0.05910382989388174
000001.SZ,2024-06-03,10.98,11.12,11.13,10.91,11.11,-0.13,-1.1701,1326696.75,1456086.02,116.713,1297.84856,9.64374,1281.50874,9.52232,1299.01569,9.65241,1273.33883,9.46162,1296.68143,9.63507,0.114,0.163,-0.098,21.329,38.246,-12.505,30.904,45.439,52.387,10.139,9.678,9.217,-109.181,-0.012590550968814895,000001.SZ,-0.009039834397805225,0.003806616147584702,9.779028,9.69057,-0.0460470689123178,-0.002375049950924968,0.011975101801484271,9.840603,9.817187,-0.035149687614624,0.001293876603380939,0.012952481068643239,9.666287,9.677994,0.008264270292992482,0.0017832808943954207,0.01165396274600289,9.273426166666665,9.289324833333334,0.06292263763838646
000001.SZ,2024-06-04,11.02,10.95,11.05,10.91,10.98,0.04,0.3643,981004.95,1079356.56,116.713,1278.00735,9.49631,1286.17726,9.55701,1289.67865,9.58303,1273.33883,9.46162,1281.50874,9.52232,0.093,0.149,-0.111,19.612,32.034,-5.234,35.433,47.112,53.108,10.135,9.684,9.233,-127.559,0.00639195645466506,000001.SZ,-0.006022398117706151,0.007912934201323722,9.683632,9.624658,-0.0333341087960739,-0.0037675965860906936,0.009621433183663665,9.808515,9.771223,-0.045887597150744086,0.0015674891477680086,0.01300186563243561,9.669756,9.684064500000002,0.012867226249523078,0.001679460413286791,0.011583308424922506,9.282821333333334,9.297852666666667,0.05656724899229881
000001.SZ,2024-06-05,10.87,11.04,11.07,10.87,11.02,-0.15,-1.3612,1018967.75,1114156.0,116.713,1288.51152,9.57436,1268.67031,9.42693,1292.01291,9.60038,1268.67031,9.42693,1286.17726,9.55701,0.066,0.132,-0.133,13.074,25.714,-12.206,27.362,41.86,50.136,10.124,9.69,9.256,-136.684,-0.015398418275477388,000001.SZ,-0.006993100515924189,0.008848777724206029,9.62466,9.557014,-0.034635412666472076,-0.005307438413638432,0.010168130436512948,9.763417999999998,9.711383,-0.05968880824870604,0.00130496592209029,0.013300442675256288,9.678428499999999,9.6901355,0.013048183280658598,0.0015349867317520822,0.011742932682631846,9.292072,9.305657833333333,0.05227479232292476
